Tempo,Deslocamento,Velocidade,Aceleração
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00
1.000000000000000056e-01,7.778350991315314406e-03,1.579520324763648287e-01,1.643414773991944466e+00
2.000000000000000111e-01,3.191196878044784413e-02,3.255366297291828470e-01,1.692552385394802794e+00
3.000000000000000444e-01,7.289349329675424982e-02,4.933665904485268205e-01,1.648919627555163414e+00
4.000000000000000222e-01,1.302912476301966160e-01,6.524101410395011236e-01,1.518071905967038893e+00
5.000000000000000000e-01,2.028044924243991021e-01,7.943792055014131659e-01,1.309255026526388255e+00
5.999999999999999778e-01,2.883554602539672995e-01,9.120742687160517947e-01,1.034898731328037114e+00
6.999999999999999556e-01,3.842131249974612417e-01,9.996721376124202418e-01,7.099854796739152318e-01
7.999999999999999334e-01,4.871424177474070749e-01,1.052945507430163019e+00,3.513228462959161469e-01
8.999999999999999112e-01,5.935716400458035391e-01,1.069406271935140262e+00,-2.324841603212468577e-02
9.999999999999998890e-01,6.997701838304336563e-01,1.048367849483644365e+00,-3.956762685434740412e-01
1.099999999999999867e+00,8.020283686884659424e-01,9.909252922989212342e-01,-7.485139473399038401e-01
1.199999999999999956e+00,8.968312598637038224e-01,8.998554593664794821e-01,-1.065696460562026715e+00
1.300000000000000044e+00,9.810187294438235117e-01,7.794429191460690021e-01,-1.333244271186506458e+00
1.400000000000000133e+00,1.051924748519005082e+00,6.352403678980982349e-01,-1.539864737516353888e+00
1.500000000000000222e+00,1.107489916744479386e+00,4.737750753908777646e-01,-1.677426405447863367e+00
1.600000000000000311e+00,1.146342502595345092e+00,3.022150912889646768e-01,-1.741286777959533350e+00
1.700000000000000400e+00,1.167844727551653472e+00,1.280105729078499510e-01,-1.730460497555930122e+00
1.800000000000000488e+00,1.172102617611056941e+00,-4.147343677681675223e-02,-1.647621705091251165e+00
1.900000000000000577e+00,1.159939397854250265e+00,-1.993161807209000158e-01,-1.498941401498648407e+00
2.000000000000000444e+00,1.132834049897387452e+00,-3.393761435659150005e-01,-1.293767646435409091e+00
2.100000000000000533e+00,1.092828218121958628e+00,-4.565867467385334999e-01,-1.044163091454482162e+00
2.200000000000000622e+00,1.042406072169304698e+00,-5.471994963669588596e-01,-7.643203911931866212e-01
2.300000000000000711e+00,9.843529500729941706e-01,-6.089636189965942359e-01,-4.698812159018053158e-01
2.400000000000000799e+00,9.215995669573687765e-01,-6.412340072421538473e-01,-1.771886896401300149e-01
2.500000000000000888e+00,8.570592375857337686e-01,-6.450024335984084756e-01,9.749406797635473687e-02
2.600000000000000977e+00,7.934658987598406377e-01,-6.228503445710871222e-01,3.387651301506171553e-01
2.700000000000001066e+00,7.332207148208463865e-01,-5.788249789977276683e-01,5.328304536470402919e-01
2.800000000000001155e+00,6.782547056697534327e-01,-5.182439205289665063e-01,6.681832134348106855e-01
2.900000000000001243e+00,6.299141654595332707e-01,-4.474363539183825456e-01,7.361856680232405914e-01
3.000000000000001332e+00,5.888746687715703532e-01,-3.734321155194241237e-01,7.315274525776827019e-01
3.100000000000001421e+00,5.550882296426581375e-01,-3.036119914346432358e-01,6.525393095506963892e-01
3.200000000000001510e+00,5.277667382081431269e-01,-2.453345219203753036e-01,5.013472736721227285e-01
3.300000000000001599e+00,5.054032098383777205e-01,-2.055557404402294508e-01,2.838589850090411648e-01
3.400000000000001688e+00,4.858307088108667626e-01,-1.904587586098663021e-01,9.580838777318523292e-03
3.500000000000001776e+00,4.663171228884918085e-01,-2.051098806697745081e-01,-3.087281939806995057e-01
3.600000000000001865e+00,4.436923376750381842e-01,-2.531569986292797614e-01,-6.555533168526548327e-01
3.700000000000001954e+00,4.145028592937383682e-01,-3.365844163380465881e-01,-1.013252033881039793e+00
3.800000000000002043e+00,3.751876249381394524e-01,-4.555360395578883503e-01,-1.362788768956053609e+00
3.900000000000002132e+00,3.222676798403101839e-01,-6.082161368849967609e-01,-1.684546398553681268e+00
4.000000000000001776e+00,2.525416330089890193e-01,-7.908737320639274149e-01,-1.959181603345308220e+00
4.100000000000001421e+00,1.632783677273857426e-01,-9.978732581411624558e-01,-2.168488763340456593e+00
4.200000000000001066e+00,5.239839799549482480e-02,-1.221850526619361776e+00,-2.296236369485161521e+00
4.300000000000000711e+00,-8.136446365972301031e-02,-1.453949485609546510e+00,-2.328940640297747944e+00
4.400000000000000355e+00,-2.383288354402666731e-01,-1.684131806127097564e+00,-2.256543194297404131e+00
4.500000000000000000e+00,-4.177656445416815245e-01,-1.901548186300661580e+00,-2.072963158312034704e+00
4.599999999999999645e+00,-6.178376547092940818e-01,-2.094957529780231198e+00,-1.776498853441374592e+00
4.699999999999999289e+00,-8.355826440035901692e-01,-2.253177951419612857e+00,-1.370060009519453059e+00
4.799999999999998934e+00,-1.066942544520919522e+00,-2.365551984035689337e+00,-8.612180874903301309e-01
4.899999999999998579e+00,-1.306839042905369563e+00,-2.422407473815590073e+00,-2.620694754249273117e-01
4.999999999999998224e+00,-1.549294275462829829e+00,-2.415495500414851282e+00,4.110862172807077108e-01
